company,sector,market_cap_b,pe_ratio
3M,Industrial Conglomerates,94.44,32.53
A. O. Smith,Building Products,8.65,17.74
Abbott Laboratories,Health Care Equipment,189.86,35.62
AbbVie,Biotechnology,441.94,70.45
Accenture,IT Consulting & Other Services,110.04,14.37
Adobe Inc.,Application Software,104.82,15.1
AES Corporation,Independent Power Producers & Energy Traders,10.49,5.51
Aflac,Life & Health Insurance,60.7,13.06
Agilent Technologies,Life Sciences Tools & Services,42.22,30.02
Airbnb,"Hotels, Resorts & Cruise Lines",110.76,42.23
Akamai Technologies,Internet Services & Infrastructure,16.77,42.27
Align Technology,Health Care Supplies,12.29,30.03
Allegion,Building Products,14.32,22.13
Alliant Energy,Electric Utilities,17.78,21.7
Allstate,Property & Casualty Insurance,66.31,5.25
Alphabet Inc. (Class A),Interactive Media & Services,4204.65,17.27
Alphabet Inc. (Class C),Interactive Media & Services,4194.87,17.21
Altria,Tobacco,108.58,13.69
Amazon,Broadline Retail,2936.79,21.9
Amcor,Paper & Plastic Packaging Products & Materials,21.92,38.23
Amentum,Diversified Support Services,5.48,37.38
Ameren,Multi-Utilities,29.85,18.98
American Electric Power,Electric Utilities,67.28,21.42
American Express,Consumer Finance,230.15,20.69
American International Group,Multi-line Insurance,40.42,14.11
American Tower,Telecom Tower REITs,79.0,27.3
American Water Works,Water Utilities,27.04,23.58
Ameriprise Financial,Asset Management & Custody Banks,49.73,13.61
Ametek,Electrical Components & Equipment,58.76,37.53
Amgen,Biotechnology,224.14,25.73
Amphenol,Electronic Components,206.19,41.7
Aon,Insurance Brokers,75.61,19.66
APA Corporation,Oil & Gas Exploration & Production,14.23,8.57
Apple Inc.,"Technology Hardware, Storage & Peripherals",4449.91,34.97
Applied Materials,Semiconductor Materials & Equipment,417.31,49.35
Aptiv,Automotive Parts & Equipment,10.3,22.45
Arch Capital Group,Property & Casualty Insurance,33.53,7.69
Archer Daniels Midland,Agricultural Products & Services,38.78,21.98
Arista Networks,Communications Equipment,249.53,62.61
Arthur J. Gallagher & Co.,Insurance Brokers,64.99,42.04
Assurant,Multi-line Insurance,13.88,13.48
AT&T,Integrated Telecommunication Services,167.88,8.09
Atmos Energy,Gas Utilities,28.59,20.14
Autodesk,Application Software,53.12,36.67
Automatic Data Processing,Human Resource & Employment Services,107.69,24.76
AvalonBay Communities,Multi-Family Residential REITs,25.95,24.97
Avery Dennison,Paper & Plastic Packaging Products & Materials,13.62,19.69
